state,year,month,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,Coal,Solar,Total Generation,Wind
Karnataka,2024,1,31.06032258064516,16.990967741935485,62.435806451612905,3.36,2138.455,665.68,7829.86,320.635
Karnataka,2024,2,34.69758620689655,17.226206896551723,49.056896551724144,0.0,2001.145,742.075,7618.21,299.51
Karnataka,2024,3,36.68451612903226,19.372258064516128,37.770967741935486,0.0,2197.27,762.22,7925.02,257.985
Karnataka,2024,4,38.936,21.77133333333333,38.13633333333333,0.0999999999999999,2271.655,727.5500000000001,7885.67,256.085
Karnataka,2024,5,33.97354838709678,22.54548387096774,64.57225806451613,116.14,1991.415,702.0649999999999,7589.62,539.345
Karnataka,2024,6,29.368666666666662,20.175666666666665,75.77133333333333,148.02,1926.59,594.26,7855.71,772.47
Karnataka,2024,7,29.036451612903225,20.00774193548387,77.57064516129033,61.55,1749.4899999999998,508.455,9488.83,1439.585
Karnataka,2024,8,28.585806451612903,20.51516129032258,81.65064516129033,189.82,1544.905,581.155,8478.77,753.905
Karnataka,2024,9,29.57,19.795333333333332,77.90833333333333,49.52,1287.505,615.6750000000001,8028.12,814.255
Karnataka,2024,10,27.58645161290323,19.851935483870967,84.71,227.41,1597.565,710.895,7449.92,199.685
Karnataka,2024,11,27.236,18.045333333333332,82.90233333333335,41.53,1519.4250000000002,637.635,7480.03,409.68
Karnataka,2024,12,27.175483870967746,17.44516129032258,83.20387096774193,101.31,1942.635,548.66,8145.37,396.365
Karnataka,2025,1,27.68,14.35,76.49,0.0,2110.2000000000003,735.885,9225.42,548.72
Kerala,2024,1,29.496451612903225,23.31451612903226,80.62225806451613,25.2,0.0,63.075,547.81,3.75
Kerala,2024,2,32.84103448275862,24.05310344827586,70.67068965517241,3.83,0.0,70.375,565.07,4.65
Kerala,2024,3,35.321612903225805,26.33258064516129,62.32419354838709,31.4,0.0,74.425,641.56,2.065
Kerala,2024,4,34.343,28.06733333333333,70.22933333333334,60.26,0.0,102.785,769.5,2.765
Kerala,2024,5,30.756129032258062,27.581935483870968,81.16935483870968,444.18,0.0,71.11,688.7,5.535
